,Week,Coefficient,Std_Error(clustered)
0,2,0.473,0.0611
1,3,0.268,0.0475
2,4,0.171,0.0371
3,5,0.106,0.0271
4,6,0.089,0.0216
5,-1,3.320,0.4848
